,beta_rolling_63j
2022-01-21,0.005928471122243028
2022-01-24,0.010213150661901097
2022-01-25,0.009662997250498101
2022-01-26,0.011913518826534809
2022-01-27,0.020447525936517087
2022-01-28,0.018800667196115513
2022-01-31,0.012591021206701879
2022-02-01,0.003041590016005506
2022-02-02,0.0050957777936500226
2022-02-03,0.0026769439110606967
2022-02-04,0.004936187415336747
2022-02-07,0.0074056218882516105
2022-02-08,0.0065243130885117165
2022-02-09,0.019445300419464902
2022-02-10,0.02176746724997118
2022-02-11,0.022901636558098824
2022-02-14,-0.013209895039671996
2022-02-15,-0.030533884509028466
2022-02-16,-0.030651920962393317
2022-02-17,-0.045029525933564796
2022-02-18,-0.06503159720978444
2022-02-21,-0.058585678492582914
2022-02-22,-0.060825030560215154
2022-02-23,-0.03538228098867703
2022-02-24,-0.09836935743478781
2022-02-25,-0.1507055327308238
2022-02-28,-0.14054096812639877
2022-03-01,-0.12953144851521342
2022-03-02,-0.1270029721466675
2022-03-03,-0.1285085863506399
2022-03-04,-0.11826770443670795
2022-03-07,-0.1281892548596095
2022-03-08,-0.13128208328774416
2022-03-09,-0.11500476056927983
2022-03-10,-0.11009912207484991
2022-03-11,-0.10617138698737512
2022-03-14,-0.10616698107246791
2022-03-15,-0.10820534318213787
2022-03-16,-0.10985382392614017
2022-03-17,-0.10957582199143687
2022-03-18,-0.10724286900182899
2022-03-21,-0.10680782157871063
2022-03-22,-0.10744529401013113
2022-03-23,-0.10823040839046649
2022-03-24,-0.1081961670657608
2022-03-25,-0.10810733637685077
2022-03-28,-0.11028837668877217
2022-03-29,-0.10871668038669358
2022-03-30,-0.10881917940924549
2022-03-31,-0.10764314713848627
2022-04-01,-0.10652973318458711
2022-04-04,-0.10684774146203349
2022-04-05,-0.1095535002928149
2022-04-06,-0.11212858908225572
2022-04-07,-0.11357496719919191
2022-04-08,-0.1094976358258713
2022-04-11,-0.11277763952292391
2022-04-12,-0.11276181148332162
2022-04-13,-0.11302408006536765
2022-04-14,-0.11268869999394433
2022-04-19,-0.11166798849685039
2022-04-20,-0.11646840527696102
2022-04-21,-0.11656557712606552
2022-04-22,-0.11833665912073309
2022-04-25,-0.12342288666865915
2022-04-26,-0.12132946300813587
2022-04-27,-0.12340935289395072
2022-04-28,-0.12395567228540821
2022-04-29,-0.12693728257348236
2022-05-02,-0.1261042264448549
2022-05-03,-0.12759992867655853
2022-05-04,-0.12740878130756791
2022-05-05,-0.1273957883564033
2022-05-06,-0.12859277230264388
2022-05-09,-0.12136775735080133
2022-05-10,-0.12455789501027562
2022-05-11,-0.13464669441188878
2022-05-12,-0.13418238946277766
2022-05-13,-0.13674369921210525
2022-05-16,-0.12947274572508913
2022-05-17,-0.12342269839894436
2022-05-18,-0.12249477593563486
2022-05-19,-0.11675788473577232
2022-05-20,-0.11805255797895886
2022-05-23,-0.11746143151273568
2022-05-24,-0.11713704869863223
2022-05-25,-0.11873153684945008
2022-05-26,-0.08916462426447458
2022-05-27,-0.05509559453448498
2022-05-30,-0.0555565357761317
2022-05-31,-0.06269089104237943
2022-06-01,-0.06087683481321718
2022-06-02,-0.05952084388165384
2022-06-03,-0.07016883454945963
2022-06-06,-0.05162271435860578
2022-06-07,-0.04761213850179497
2022-06-08,-0.05407767956295712
2022-06-09,-0.055201985664130385
2022-06-10,-0.04581688195739797
2022-06-13,-0.04576985309199534
2022-06-14,-0.04103578515167372
2022-06-15,-0.03336631150808124
2022-06-16,-0.04507957832014972
2022-06-17,-0.045347808600945394
2022-06-20,-0.04633243554414625
2022-06-21,-0.047230988112537835
2022-06-22,-0.04644709296763637
2022-06-23,-0.04488467626558943
2022-06-24,-0.039365131191515225
2022-06-27,-0.02939003968382687
2022-06-28,-0.026926022661836645
2022-06-29,-0.02398648835632677
2022-06-30,-0.025727715187648926
2022-07-01,-0.020885540304116785
2022-07-04,-0.022306517520641403
2022-07-05,-0.027430864338794256
2022-07-06,-0.028330005604627017
2022-07-07,-0.03375577078177592
2022-07-08,-0.03368236253517947
2022-07-11,-0.03217007578132006
2022-07-12,-0.03183757571598253
2022-07-13,-0.03228421204235039
2022-07-14,-0.030342848828574853
2022-07-15,-0.040330986494376955
2022-07-18,-0.030991985692017082
2022-07-19,-0.02911580222242269
2022-07-20,-0.027337155690578235
2022-07-21,-0.030853553716367232
2022-07-22,-0.0271502037355781
2022-07-25,-0.027186000328660042
2022-07-26,-0.023412529330770454
2022-07-27,-0.022549695780431818
2022-07-28,-0.015518703674397486
2022-07-29,-0.01624490681894433
2022-08-01,-0.017731946698612347
2022-08-02,-0.017207607069313638
2022-08-03,-0.015054407680559078
2022-08-04,-0.010362758265135705
2022-08-05,-0.003148629510861444
2022-08-08,0.002352261384433408
2022-08-09,0.0018123175230711002
2022-08-10,0.012151082752612695
2022-08-11,0.012208795189308511
2022-08-12,0.010710193800273932
2022-08-15,0.00985536108202141
2022-08-16,0.00986977853792878
2022-08-17,0.011083808089548794
2022-08-18,0.006203189627303855
2022-08-19,0.005495193680643828
2022-08-22,0.010644192160653095
2022-08-23,0.01352196381458943
2022-08-24,0.01328583317294123
2022-08-25,0.013959749792582701
2022-08-26,0.016874697085950737
2022-08-29,0.014643566241627845
2022-08-30,0.014001505451814977
2022-08-31,0.013533181316860165
2022-09-01,0.02453715416135878
2022-09-02,0.017080531990665882
2022-09-05,0.008984744687157539
2022-09-06,0.006726207888506607
2022-09-07,0.002815213258857856
2022-09-08,0.007175568116812965
2022-09-09,0.0033866238509572405
2022-09-12,0.006163367472525565
2022-09-13,0.023825279299751465
2022-09-14,0.033090748955990124
2022-09-15,0.03607670839139512
2022-09-16,0.04209477254331704
2022-09-19,0.04242976738922837
2022-09-20,0.036402786633449695
2022-09-21,0.03398304038149458
2022-09-22,0.019560520235926342
2022-09-23,0.02127869729695728
2022-09-26,0.019690575842861904
2022-09-27,0.022103593386490705
2022-09-28,0.01884078062339838
2022-09-29,0.008437806823009526
2022-09-30,0.01794370026640163
2022-10-03,0.024736466455257
2022-10-04,0.051153993283200284
2022-10-05,0.043465008787555534
2022-10-06,0.04383772060154639
2022-10-07,0.04151593481107491
2022-10-10,0.04182450680342474
2022-10-11,0.04274329669881818
2022-10-12,0.058346841375608444
2022-10-13,0.05566375129357047
2022-10-14,0.05249409821039337
2022-10-17,0.05367958052815731
2022-10-18,0.05438095432777902
2022-10-19,0.04771937888744717
2022-10-20,0.04580876986664177
2022-10-21,0.04484983123472932
2022-10-24,0.055258350029800216
2022-10-25,0.05307890775771423
2022-10-26,0.058702930202454214
2022-10-27,0.05940783149544935
2022-10-28,0.06447024677375413
2022-10-31,0.06288556035377614
2022-11-01,0.05696270078054287
2022-11-02,0.05302311582371639
2022-11-03,0.05166102391299565
2022-11-04,0.05451848693352375
2022-11-07,0.0512076482183946
2022-11-08,0.049849078690334295
2022-11-09,0.0504101613063567
2022-11-10,0.056083161225304025
2022-11-11,0.06508203079768778
2022-11-14,0.06578766393230098
2022-11-15,0.06415401193476192
2022-11-16,0.0626001154961226
2022-11-17,0.059943825911033866
2022-11-18,0.05946115461950933
2022-11-21,0.059433281439668584
2022-11-22,0.05891675503322126
2022-11-23,0.057833899216854695
2022-11-24,0.05970264341410969
2022-11-25,0.05946380108216867
2022-11-28,0.05735889103995554
2022-11-29,0.04738402917710263
2022-11-30,0.06022182587238664
2022-12-01,0.07698794238326885
2022-12-02,0.0775398519935504
2022-12-05,0.07965567413501085
2022-12-06,0.08324992727386682
2022-12-07,0.08816595134419634
2022-12-08,0.08931136984765432
2022-12-09,0.09241771770275375
2022-12-12,0.08488533984222711
2022-12-13,0.07774865830239325
2022-12-14,0.06805874919256476
2022-12-15,0.07209325286793626
2022-12-16,0.08371938870965472
2022-12-19,0.08381417443929731
2022-12-20,0.0960560831213429
2022-12-21,0.08611376521983956
2022-12-22,0.0776394192854034
2022-12-23,0.07472342527634265
2022-12-27,0.07396700969113265
2022-12-28,0.0977113621661547
2022-12-29,0.0995162268295568
2022-12-30,0.09733908579470996
2023-01-02,0.0780696188994976
2023-01-03,0.09726534030515391
2023-01-04,0.11068507427695105
2023-01-05,0.11849079883815565
2023-01-06,0.10570141093352692
2023-01-09,0.11312548811850687
2023-01-10,0.11326691349293035
2023-01-11,0.10877947279306018
2023-01-12,0.12032690555127441
2023-01-13,0.12228373581288472
2023-01-16,0.13092860334884635
2023-01-17,0.13703333227130843
2023-01-18,0.14292301199556962
2023-01-19,0.12722483862520823
2023-01-20,0.11465594067670919
2023-01-23,0.1096573004445979
2023-01-24,0.10918072181944176
2023-01-25,0.10935794466366223
2023-01-26,0.09372138462506273
2023-01-27,0.09530361058403031
2023-01-30,0.09681623790663432
2023-01-31,0.10040412178709385
2023-02-01,0.10431237121040057
2023-02-02,0.13623125248937973
2023-02-03,0.13091553677326526
2023-02-06,0.13596500379972806
2023-02-07,0.13821857916010116
2023-02-08,0.1404234084817978
2023-02-09,0.12721776423355796
2023-02-10,0.13823223624203002
2023-02-13,0.14118408985062533
2023-02-14,0.1484319612954616
2023-02-15,0.13444471996744228
2023-02-16,0.13321483417076013
2023-02-17,0.133783131525724
2023-02-20,0.13141675277046921
2023-02-21,0.1331711058263984
2023-02-22,0.1308546730355487
2023-02-23,0.12725198973802182
2023-02-24,0.1339890529088585
2023-02-27,0.12812914458520105
2023-02-28,0.12820413568667088
2023-03-01,0.12792864498791084
2023-03-02,0.12687033872273878
2023-03-03,0.1267555829923474
2023-03-06,0.12341074786595645
2023-03-07,0.12239045449446605
2023-03-08,0.12407990051527228
2023-03-09,0.125419441285825
2023-03-10,0.11322613762063997
2023-03-13,0.08198938685400078
2023-03-14,0.08327597078866736
2023-03-15,0.06628998908457522
2023-03-16,0.06534317668086162
2023-03-17,0.054402470798617895
2023-03-20,0.06324944270878423
2023-03-21,0.0526734318687785
2023-03-22,0.060170869222510304
2023-03-23,0.06672708680961556
2023-03-24,0.05002565212489635
2023-03-27,0.046387797640882876
2023-03-28,0.04387518002778752
2023-03-29,0.05028757137459628
2023-03-30,0.05156457963565788
2023-03-31,0.049223902981325326
2023-04-03,0.03915269593786076
2023-04-04,0.040239859457521655
2023-04-05,0.029680381958314194
2023-04-06,0.014439648946808614
2023-04-11,0.014168324840427718
2023-04-12,0.01748471188459482
2023-04-13,0.017150550935084594
2023-04-14,0.01500774895541548
2023-04-17,0.012428149153269567
2023-04-18,0.0122726885283283
2023-04-19,0.0145218774797136
2023-04-20,0.014109699733487255
2023-04-21,0.013593369917748283
2023-04-24,0.014832728534904157
2023-04-25,0.011691259902169989
2023-04-26,0.010589326133926795
2023-04-27,0.01258920734669737
2023-04-28,0.011670824483134036
2023-05-02,0.009072319110855615
2023-05-03,0.012176654149400173
2023-05-04,-0.004537311232416741
2023-05-05,-0.05403262165604032
2023-05-08,-0.04318779026832254
2023-05-09,-0.05093509853185225
2023-05-10,-0.05125249901919558
2023-05-11,-0.054703294942465
2023-05-12,-0.05491995154019343
2023-05-15,-0.07335382942354668
2023-05-16,-0.0714364028381931
2023-05-17,-0.06519952202940087
2023-05-18,-0.05547544643074274
2023-05-19,-0.06014788275158911
2023-05-22,-0.05704142182433247
2023-05-23,-0.0489063062386205
2023-05-24,-0.05716492881034461
2023-05-25,-0.0554662968895246
2023-05-26,-0.05527753779841851
2023-05-29,-0.05761002658739252
2023-05-30,-0.05298589561360221
2023-05-31,-0.04576486039098585
2023-06-01,-0.051378777435738016
2023-06-02,-0.03378691155257104
2023-06-05,-0.03584351090432828
2023-06-06,-0.034318581791563454
2023-06-07,-0.03419773082268042
2023-06-08,-0.03405102945309275
2023-06-09,-0.03764664182631353
2023-06-12,-0.04061201891935263
2023-06-13,-0.016439122092381037
2023-06-14,-0.018458774574206332
2023-06-15,-0.0014131392731440884
2023-06-16,-0.004171758609624842
2023-06-19,0.006274872743143682
2023-06-20,-0.0034082458911517772
2023-06-21,0.01616230544092418
2023-06-22,0.014634755114781217
2023-06-23,0.002434337262305367
2023-06-26,0.03241509148180048
2023-06-27,0.04180121572803431
2023-06-28,0.03517418263554525
2023-06-29,0.01988663900534308
2023-06-30,0.003445883400113166
2023-07-03,-0.0009622470427307194
2023-07-04,-0.0027537734118673676
2023-07-05,-0.0016877550190394742
2023-07-06,0.03713977252321286
2023-07-07,0.028735174523159428
2023-07-10,0.023533201274388106
2023-07-11,0.02576351559582081
2023-07-12,0.026044536937729672
2023-07-13,0.019939703879728578
2023-07-14,0.01974169784300407
2023-07-17,0.01936680769685556
2023-07-18,0.01004272857879883
2023-07-19,0.029127141459507518
2023-07-20,0.02848557327541851
2023-07-21,0.029575817751598843
2023-07-24,0.03296683842802644
2023-07-25,0.03400971433471799
2023-07-26,0.02789272029724992
2023-07-27,0.027190221859608073
2023-07-28,0.030075310396902193
2023-07-31,0.026974994313963614
2023-08-01,0.0370762321675018
2023-08-02,0.03453620085868765
2023-08-03,0.03846005892314213
2023-08-04,0.03809832570339995
2023-08-07,0.03585410947608529
2023-08-08,0.03846678813822231
2023-08-09,0.03716140770907874
2023-08-10,0.03780524056720541
2023-08-11,0.03232122729006507
2023-08-14,0.028056539040387955
2023-08-15,0.027034330463314826
2023-08-16,0.031943084440799976
2023-08-17,0.03260072092044902
2023-08-18,0.02865379223167889
2023-08-21,0.03719175367156512
2023-08-22,0.03857406173341024
2023-08-23,0.04002652082417215
2023-08-24,0.040129075580440134
2023-08-25,0.04329947332055118
2023-08-28,0.03837016844181664
2023-08-29,0.045843377634569166
2023-08-30,0.02893201802134509
2023-08-31,0.028700459079808373
2023-09-01,0.027306208438367816
2023-09-04,0.027312360527121875
2023-09-05,0.02934092839821368
2023-09-06,0.03132694394729264
2023-09-07,0.03753119994100869
2023-09-08,0.0392852055440499
2023-09-11,0.04065849159345376
2023-09-12,0.028357158090606172
2023-09-13,0.026402385201588226
2023-09-14,0.028720632379471155
2023-09-15,0.02701384617546998
2023-09-18,0.010648476948967459
2023-09-19,0.00749329547431919
2023-09-20,0.0038416528461083814
2023-09-21,-0.0025139654629232396
2023-09-22,-0.0032387505983631926
2023-09-25,0.004776028232222786
2023-09-26,0.005198583638995719
2023-09-27,0.014180330022177279
2023-09-28,0.005670004119550466
2023-09-29,0.012443692412444888
2023-10-02,0.010190523924361502
2023-10-03,0.01670400932799401
2023-10-04,0.024855001534630553
2023-10-05,0.026671329396928775
2023-10-06,0.023693841171389313
2023-10-09,0.00812356524195139
2023-10-10,0.01367594800934327
2023-10-11,0.008953616645637099
2023-10-12,0.008716398996734747
2023-10-13,0.014048278259346207
2023-10-16,-0.004720522990685963
2023-10-17,-0.0038803706925844795
2023-10-18,-0.006973402587805143
2023-10-19,-0.007598488302048048
2023-10-20,-0.016705414494522484
2023-10-23,-0.011537528095191468
2023-10-24,-0.010683743380793784
2023-10-25,-0.00965385790255123
2023-10-26,-0.015405838393333732
2023-10-27,-0.016487271968483538
2023-10-30,-0.01039927594800888
2023-10-31,-0.010926796254326177
2023-11-01,-0.005519567797083053
2023-11-02,0.0039772785521887755
2023-11-03,0.009266025407043382
2023-11-06,0.013100106822672156
2023-11-07,0.014929135968047026
2023-11-08,0.02163736283708034
2023-11-09,0.006551992802311786
2023-11-10,-0.0048621273724253995
2023-11-13,-0.00750591960475094
2023-11-14,-0.014744880106145594
2023-11-15,-0.008775851276475627
2023-11-16,-0.009648866338787233
2023-11-17,-0.010272117810372747
2023-11-20,-0.010376569395414691
2023-11-21,-0.011420731480107214
2023-11-22,-0.010011639363246927
2023-11-23,-0.010608522056194109
2023-11-24,-0.021608949129732106
2023-11-27,-0.018584978989195863
2023-11-28,-0.018210970551299038
2023-11-29,-0.011255006754027479
2023-11-30,-0.01241801752211188
