,DWMAEIA ID Equity
2023-07-19,-0.3402467250460908
2023-07-20,-0.34110234681253637
2023-07-21,-0.340641086902394
2023-07-25,-0.34326686584928107
2023-07-26,-0.34191716013376383
2023-07-27,-0.33837181992124976
2023-07-28,-0.338973726881393
2023-08-01,-0.33915719684556916
2023-08-02,-0.3321816405218293
2023-08-03,-0.35522942588055484
2023-08-04,-0.34854369713647326
2023-08-09,-0.3557744120143207
2023-08-10,-0.3507110448571007
2023-08-11,-0.3488680199923479
2023-08-17,-0.32921532384887814
2023-08-18,-0.33428466478449376
2023-08-22,-0.33032252686828056
2023-08-23,-0.32727996560084227
2023-08-24,-0.3307576153520337
2023-08-25,-0.3289316016416687
2023-08-30,-0.3335725379572276
2023-08-31,-0.33481534438946287
2023-09-01,-0.334666552059079
2023-09-06,-0.33602811960351825
2023-09-07,-0.3384488834080123
2023-09-08,-0.3421481441685674
2023-09-12,-0.3397758457842711
2023-09-13,-0.33683223891353886
2023-09-14,-0.3273594601757307
2023-09-15,-0.326362283809644
2023-09-19,-0.3252027154048793
2023-09-20,-0.3277987910634413
2023-09-21,-0.3187180993049185
2023-09-22,-0.32030046053036904
2023-09-26,-0.31671204768426614
2023-09-27,-0.3160490378131816
2023-09-28,-0.32192432651749925
2023-09-29,-0.3223626913922858
2023-10-03,-0.3194541208393304
2023-10-04,-0.31780161434674237
2023-10-05,-0.319118355655765
2023-10-06,-0.32502268546836466
2023-10-11,-0.32528720692499874
2023-10-12,-0.32024277565646264
2023-10-13,-0.3185810123686689
2023-10-17,-0.31976739867387854
2023-10-18,-0.3217754443337768
2023-10-19,-0.3344578793531207
2023-10-20,-0.32275572110412576
2023-10-24,-0.3228298150656285
2023-10-25,-0.33436718999175274
2023-10-26,-0.33291890366277926
2023-10-27,-0.34616728300592103
2023-11-03,-0.3560366608264609
2023-11-07,-0.3601199303780301
2023-11-08,-0.3592921716787094
2023-11-09,-0.35687448953925305
2023-11-10,-0.3547734605899081
2023-11-14,-0.35924444256103205
2023-11-15,-0.35878594832814215
2023-11-16,-0.3975912805058733
2023-11-17,-0.3988956682883225
2023-11-21,-0.39590133038356995
2023-11-22,-0.3886905294760738
2023-11-28,-0.39770450320253903
2023-11-29,-0.3971433022611268
2023-11-30,-0.397873819653298
2023-12-01,-0.40377437803561933
2023-12-05,-0.4066867134264604
2023-12-06,-0.4156670349742046
2023-12-07,-0.4234335490776306
2023-12-08,-0.42217679593801044
2023-12-12,-0.42005878248226797
2023-12-13,-0.4231942900823485
2023-12-14,-0.42609475650853235
2023-12-15,-0.4254988322263659
2023-12-19,-0.42230297381052306
2023-12-20,-0.4181864559782478
2023-12-21,-0.4197492500876511
2023-12-22,-0.4185215234891418
2023-12-29,-0.4174351578318814
2024-01-03,-0.41708185310862206
2024-01-04,-0.42483123554365304
2024-01-05,-0.426153108802867
2024-01-09,-0.4194624008765043
2024-01-10,-0.42223181043872793
2024-01-11,-0.41709382045588844
2024-01-12,-0.4147148239338115
2024-01-17,-0.41805536937806304
2024-01-18,-0.40733179075662235
2024-01-19,-0.40304385112572544
2024-01-23,-0.3948493489014372
2024-01-24,-0.39571426286564476
2024-01-25,-0.4020682528275952
2024-01-26,-0.4018684836204452
2024-01-30,-0.4035181272015593
2024-01-31,-0.4019501915878015
2024-02-01,-0.39994010604771807
2024-02-02,-0.3776349757974123
2024-02-07,-0.375664919915324
2024-02-08,-0.38024470784466324
2024-02-09,-0.37847876322404816
2024-02-13,-0.37868492213375166
2024-02-14,-0.38001649438435203
2024-02-15,-0.37499207725065914
2024-02-16,-0.3818138975582674
2024-02-21,-0.38822226588569075
2024-02-22,-0.3572383817460159
2024-02-23,-0.3454052502461874
2024-02-27,-0.34737392651887494
2024-02-28,-0.34157954106345706
2024-02-29,-0.35514965917877395
2024-03-01,-0.35747851852369106
2024-03-05,-0.3518748638007815
2024-03-06,-0.35048846301846975
2024-03-07,-0.3510844137560454
2024-03-08,-0.34988121748132095
2024-03-12,-0.3520837225626003
2024-03-13,-0.35147287490357115
2024-03-14,-0.35109470034121987
2024-03-15,-0.3511104003934628
2024-03-20,-0.34935779557251817
2024-03-21,-0.33527329671426426
2024-03-22,-0.3388412832140112
2024-03-26,-0.33206616626613905
2024-03-27,-0.32960205741502147
2024-03-28,-0.32749980227177905
2024-04-03,-0.32818276660062107
2024-04-04,-0.31759071654563803
2024-04-05,-0.31919885083697885
2024-04-09,-0.3158419909888004
2024-04-10,-0.31560952226628347
2024-04-11,-0.2549189697892458
2024-04-12,-0.2567874490892096
2024-04-16,-0.24165910988557532
2024-04-17,-0.23804432403074027
2024-04-18,-0.23861041580739645
2024-04-19,-0.22585877109126654
2024-04-23,-0.22170239204100786
2024-04-24,-0.2210697899673899
2024-04-25,-0.21539641191045894
2024-04-26,-0.18050339766117776
2024-04-30,-0.1871524894925745
2024-05-03,-0.20325884971359415
2024-05-14,-0.20356874926591795
2024-05-15,-0.21082816484511482
2024-05-16,-0.20814829628313847
2024-05-17,-0.20688700141912741
2024-05-22,-0.20855606895951753
2024-05-23,-0.17667517203130295
2024-05-24,-0.16765571156613426
2024-05-29,-0.1619697760110771
2024-05-30,-0.16147977212228612
2024-05-31,-0.15258127751422507
2024-06-05,-0.14956241252167998
2024-06-06,-0.14714280573409505
2024-06-07,-0.13648525711356216
2024-06-11,-0.13103440725865473
2024-06-12,-0.10942667507543045
2024-06-13,-0.09962164959066079
2024-06-14,-0.08742543352119493
2024-06-18,-0.08313586649807936
2024-06-21,-0.08476921870921955
2024-06-25,-0.08108800652228858
2024-06-26,-0.08243337929548077
2024-06-27,-0.0838268721119725
2024-06-28,-0.08053476064238836
2024-07-02,-0.0807958874625669
2024-07-03,-0.0792445111513498
2024-07-09,-0.08019112232923598
2024-07-10,-0.07098923851791294
2024-07-11,-0.07020194563034074
2024-07-12,0.007885425262446526
2024-07-16,0.01944308463427794
2024-07-17,0.023497434752985245
2024-07-18,0.03275069401169049
2024-07-19,0.04427335555433087
2024-07-23,0.03815107863503411
2024-07-24,0.08753194522195998
2024-07-25,0.09362738094952595
2024-07-26,0.09754700837285987
2024-07-30,0.09886557373646572
2024-07-31,0.10567179780007677
2024-08-01,0.12162051674238002
2024-08-02,0.1336139084650219
2024-08-07,0.13251301358221992
2024-08-08,0.13260005854903745
2024-08-09,0.1330929336823708
2024-08-13,0.14260281835360253
2024-08-14,0.14234948427449498
2024-08-20,0.1417710025390596
2024-08-21,0.1184845279276526
2024-08-22,0.12110802779427224
2024-08-23,0.16489843982647465
2024-08-28,0.16543415193479127
2024-08-29,0.1604783324696771
2024-08-30,0.16371078666732294
2024-09-04,0.16290934666065232
2024-09-05,0.16398534828182693
2024-09-06,0.16100206745631382
2024-09-10,0.16276888597741565
2024-09-11,0.16089968538198693
2024-09-12,0.1628575500368828
2024-09-13,0.16223679580431816
2024-09-17,0.16764275382819074
2024-09-18,0.17203154930716674
2024-09-19,0.17614550923593528
2024-09-20,0.18004125717255154
2024-09-24,0.17985104439662838
2024-09-25,0.18308433571895438
2024-09-26,0.18479084773312968
2024-09-27,0.1867816159925495
2024-10-01,0.18860779465935446
2024-10-02,0.19084922616939878
2024-10-03,0.19352774084170982
2024-10-04,0.19244095983645715
2024-10-08,0.1822718260911322
2024-10-09,0.1802406856074187
2024-10-10,0.1799804687550488
2024-10-11,0.18066690671657845
2024-10-16,0.18241971728061396
2024-10-17,0.1826064915039577
2024-10-18,0.18451315876887334
2024-10-22,0.18491386190936987
2024-10-23,0.18707801398358104
2024-10-24,0.18717006939838304
2024-10-25,0.1812567928363404
2024-10-30,0.18470975565509032
2024-10-31,0.20073193435736228
2024-11-05,0.20476590172319067
2024-11-06,0.2382215157229382
2024-11-07,0.2339057339196461
2024-11-08,0.2238906486747578
2024-11-13,0.2241365860918892
2024-11-14,0.22453971204060794
2024-11-15,0.22954662030967915
2024-11-19,0.23013200025858044
2024-11-20,0.22682304050779115
2024-11-21,0.2342611801630948
2024-11-22,0.2415646256010584
2024-11-26,0.24376094596801973
2024-11-27,0.26268803880816843
2024-12-03,0.26540954738232386
2024-12-04,0.2656598800105334
2024-12-05,0.2711867760503587
2024-12-06,0.2672112209306558
2024-12-10,0.2714332948543738
