,portfolio_vol_rolling
2023-12-14,0.06901265476748913
2023-12-15,0.06903741634029997
2023-12-18,0.06895416862168187
2023-12-19,0.06506966520324498
2023-12-20,0.06521888887277857
2023-12-21,0.06584061969417966
2023-12-22,0.06467123263690648
2023-12-25,0.06468102764079763
2023-12-26,0.0646363643499086
2023-12-27,0.06472182731306611
2023-12-28,0.0647197163851936
2023-12-29,0.061662445208626446
2024-01-01,0.06117703973320479
2024-01-02,0.061292058034143775
2024-01-03,0.06160908360135841
2024-01-04,0.06132918116850931
2024-01-05,0.058733578545906065
2024-01-08,0.058589494621951045
2024-01-09,0.05847370442878324
2024-01-10,0.05810850586786104
2024-01-11,0.058098047964491105
2024-01-12,0.05842009409663625
2024-01-15,0.05769419881243936
2024-01-16,0.055298879992139005
2024-01-17,0.05105132730661006
2024-01-18,0.05097479392431095
2024-01-19,0.05085634731915108
2024-01-22,0.05120690305677042
2024-01-23,0.0496756009858662
2024-01-24,0.04827569218581
2024-01-25,0.04851254647570328
2024-01-26,0.047832135795126046
2024-01-29,0.04557160924358604
2024-01-30,0.04179879898008355
2024-01-31,0.042534362446891336
2024-02-01,0.04238330454446534
2024-02-02,0.04597900816081489
2024-02-05,0.04575241337012875
2024-02-06,0.045569001421823054
2024-02-07,0.044893973766249554
2024-02-08,0.04479259709441414
2024-02-09,0.04425534511975981
2024-02-12,0.044991332928406826
2024-02-13,0.04708883342647136
2024-02-14,0.047197920746534894
2024-02-15,0.047406270091257606
2024-02-16,0.04740591553320275
2024-02-19,0.046964944344471564
2024-02-20,0.048437460365001204
2024-02-21,0.048609641418655036
2024-02-22,0.053554181697884375
2024-02-23,0.05335513794373382
2024-02-26,0.05393479073619588
2024-02-27,0.05404042710996652
2024-02-28,0.05232890699795908
2024-02-29,0.052256088579593074
2024-03-01,0.05284381310975947
2024-03-04,0.05279118503064821
2024-03-05,0.05387159694283389
2024-03-06,0.05377020707345126
2024-03-07,0.05374756879123593
2024-03-08,0.05369446194769887
2024-03-11,0.0548003969176938
2024-03-12,0.05583846174215771
2024-03-13,0.05549468334278262
2024-03-14,0.05543475929899638
2024-03-15,0.056459070242327845
2024-03-18,0.05692787219902068
2024-03-19,0.05607457722364501
2024-03-20,0.05607098950929296
2024-03-21,0.05918618797939029
2024-03-22,0.059150952285762996
2024-03-25,0.059235316618157334
2024-03-26,0.05918588014500396
2024-03-27,0.059387840067312646
2024-03-28,0.0595988025649041
2024-03-29,0.059491530686868625
2024-04-01,0.05899144788183073
2024-04-02,0.06050899085422858
2024-04-03,0.060396479827020545
2024-04-04,0.060412356962991326
2024-04-05,0.06101521598419666
2024-04-08,0.061022958132641254
2024-04-09,0.061353782578983
2024-04-10,0.060777093531555595
2024-04-11,0.060760840767877584
2024-04-12,0.06096818038677418
2024-04-15,0.05975253232860702
2024-04-16,0.06355062930738634
2024-04-17,0.06389526481138703
2024-04-18,0.06251031273188906
2024-04-19,0.06377229758740693
2024-04-22,0.06343079020568382
2024-04-23,0.06471428619341492
2024-04-24,0.06475893018742108
2024-04-25,0.0673801430915288
2024-04-26,0.07164175887198446
2024-04-29,0.07116810650424578
2024-04-30,0.07105033511557446
2024-05-01,0.06815443789938799
2024-05-02,0.06875534160100379
2024-05-03,0.06949602826190052
2024-05-06,0.07005645467584586
2024-05-07,0.07039392109559733
2024-05-08,0.0704399265422934
2024-05-09,0.06980108163522719
2024-05-10,0.06826348848146083
2024-05-13,0.0681954040244201
2024-05-14,0.06796197491793907
2024-05-15,0.06889937279029501
2024-05-16,0.06882372851971098
2024-05-17,0.06806280398947236
2024-05-20,0.0680678483258552
2024-05-21,0.0641606624090993
2024-05-22,0.06395553345082101
2024-05-23,0.06363284799989585
2024-05-24,0.06388162002459254
2024-05-27,0.06392231529629619
2024-05-28,0.06425930742314925
2024-05-29,0.06347297390040006
2024-05-30,0.06359350383315306
2024-05-31,0.0636388825344895
2024-06-03,0.06423104192217888
2024-06-04,0.06431106118047279
2024-06-05,0.06589848574926958
2024-06-06,0.06519161786662094
2024-06-07,0.06429501602203222
2024-06-10,0.06433465909365278
2024-06-11,0.06444560408330949
2024-06-12,0.06431099460194456
2024-06-13,0.0636790665126532
2024-06-14,0.06379063105453364
2024-06-17,0.06376340620085175
2024-06-18,0.060907189459435206
