,portfolio_return_gross,portfolio_return_net_est,portfolio_nav_gross,portfolio_nav_net_est,fee_drag_nav,portfolio_ter_bps_annualized,portfolio_ter_daily_drag,allocation_turnover_daily
2022-08-05,-0.0016367850034169852,-0.0016458225190945067,1.1615756100090802,1.1554058147850002,0.00616979522408001,22.774539507354145,9.037515677521485e-06,0.0
2022-08-08,0.004751320162481143,0.0047422826468036215,1.1670946276251626,1.160885075730471,0.006209551894691634,22.774539507354145,9.037515677521485e-06,0.0
2022-08-09,-0.00727426026809357,-0.007283297783771092,1.1586048775463234,1.1524300040311903,0.006174873515133017,22.774539507354145,9.037515677521485e-06,0.0
2022-08-10,0.004505913695189925,0.0044968761795124036,1.1638254511313733,1.1576123390648736,0.00621311206649966,22.774539507354145,9.037515677521485e-06,0.0
2022-08-11,0.004075546969689989,0.004066509454012468,1.1685686764219798,1.1623197805857624,0.006248895836217461,22.774539507354145,9.037515677521485e-06,0.0
2022-08-12,0.0067037418927271605,0.006694704377049639,1.1764024592126385,1.170101167908381,0.006301291304257495,22.774539507354145,9.037515677521485e-06,0.0
2022-08-15,0.007126483250085303,0.007117445734407781,1.1847860716335765,1.1784292994747363,0.006356772158840229,22.774539507354145,9.037515677521485e-06,0.0
2022-08-16,0.002868235458639111,0.0028591979429615894,1.1881843170551376,1.18179866210372,0.00638565495141763,22.774539507354145,9.037515677521485e-06,0.0
2022-08-17,-0.006749438254738864,-0.006758475770416385,1.1801647403719249,1.1738115044803814,0.006353235891543463,22.774539507354145,9.037515677521485e-06,0.0
2022-08-18,0.005107565910489223,0.005098528394811701,1.18619250956861,1.1797962157661313,0.0063962938024788585,22.774539507354145,9.037515677521485e-06,0.0
2022-08-19,-0.004644815676511635,-0.004653853192189156,1.180682864004805,1.1743056173812554,0.006377246623549659,22.774539507354145,9.037515677521485e-06,0.0
2022-08-22,-0.004003161481847123,-0.004012198997524644,1.175956399841344,1.1695940695604108,0.006362330280933248,22.774539507354145,9.037515677521485e-06,0.0
2022-08-23,-0.00498556945094515,-0.004994606966622671,1.1700935875386516,1.1637524068724638,0.006341180666187718,22.774539507354145,9.037515677521485e-06,0.0
2022-08-24,0.0024802686879092676,0.002471231172231746,1.172995734025747,1.1666283080970867,0.006367425928660353,22.774539507354145,9.037515677521485e-06,0.0
2022-08-25,0.0030787503895810795,0.003069712873903558,1.1766070950988559,1.1702095220335125,0.006397573065343387,22.774539507354145,9.037515677521485e-06,0.0
2022-08-26,-0.009939358608566977,-0.009948396124244498,1.164912375239284,1.1585678141599602,0.006344561079323796,22.774539507354145,9.037515677521485e-06,0.0
2022-08-29,-0.011362091719579609,-0.01137112923525713,1.151676533986542,1.145393589817338,0.006282944169204052,22.774539507354145,9.037515677521485e-06,0.0
2022-08-30,-0.007830638311970868,-0.00783967582764839,1.1426581715965092,1.1364140753781036,0.006244096218405604,22.774539507354145,9.037515677521485e-06,0.0
2022-08-31,-0.005629917658046791,-0.005638955173724312,1.1362251001791266,1.1300058873482572,0.006219212830869347,22.774539507354145,9.037515677521485e-06,0.0
2022-09-01,-0.004700598043802158,-0.00470963555947968,1.1308841626959056,1.1246839714387804,0.0062001912571252316,22.774539507354145,9.037515677521485e-06,0.0
2022-09-02,0.00924615013281184,0.009237112617134318,1.1413404874470112,1.1350728039416462,0.006267683505364996,22.774539507354145,9.037515677521485e-06,0.0
2022-09-05,-0.004250232892506145,-0.0042592704081836665,1.136489524565715,1.1302382219366836,0.006251302629031397,22.774539507354145,9.037515677521485e-06,0.0
2022-09-06,-0.001102260088498143,-0.0011112976041756644,1.13523681752179,1.1289821909084976,0.006254626613292347,22.774539507354145,9.037515677521485e-06,0.0
2022-09-07,-0.00276930627866782,-0.0027783437943453416,1.132092999075252,1.1258454902444606,0.006247508830791393,22.774539507354145,9.037515677521485e-06,0.0
2022-09-08,0.00770777320889775,0.007698735693220229,1.1408189151635049,1.1345130771052567,0.006305838058248137,22.774539507354145,9.037515677521485e-06,0.0
2022-09-09,0.004942248938045112,0.00493321142236759,1.1464571262354735,1.140109869976058,0.006347256259415568,22.774539507354145,9.037515677521485e-06,0.0
2022-09-12,0.004101485485215217,0.004092447969537696,1.1511593034981498,1.1447757102984912,0.006383593199658533,22.774539507354145,9.037515677521485e-06,0.0
2022-09-13,-0.010784346454849913,-0.010793383970527435,1.138744802744502,1.1324197064971064,0.006325096247395523,22.774539507354145,9.037515677521485e-06,0.0
2022-09-14,-0.004935605370217052,-0.004944642885894574,1.1331244077807694,1.1268202954515287,0.006304112329240663,22.774539507354145,9.037515677521485e-06,0.0
2022-09-15,-0.004466995752733319,-0.00447603326841084,1.128062745863894,1.1217766103215672,0.006286135542326932,22.774539507354145,9.037515677521485e-06,0.0
2022-09-16,-0.012101190013076168,-0.01211022752875369,1.1144118442295226,1.108191640334139,0.00622020389538358,22.774539507354145,9.037515677521485e-06,0.0
2022-09-19,0.0014798311755306326,0.0014707936598531111,1.116060985618994,1.1098215615726446,0.006239424046349473,22.774539507354145,9.037515677521485e-06,0.0
2022-09-20,-0.0023949118458457376,-0.002403949361523259,1.1133881179438487,1.1071536067382972,0.006234511205551518,22.774539507354145,9.037515677521485e-06,0.0
2022-09-21,0.00983848778370951,0.009829450268031989,1.1243421733407666,1.1180363180548036,0.006305855285962947,22.774539507354145,9.037515677521485e-06,0.0
2022-09-22,-0.014168656824390892,-0.014177694340068414,1.1084117549335113,1.102185140876327,0.0062266140571842765,22.774539507354145,9.037515677521485e-06,0.0
2022-09-23,-0.006891990070271063,-0.0069010275859485845,1.1007725921247378,1.0945789308143168,0.006193661310420984,22.774539507354145,9.037515677521485e-06,0.0
2022-09-26,0.0009235154010511226,0.0009144778853736012,1.10178917256662,1.0955798990403423,0.006209273526277759,22.774539507354145,9.037515677521485e-06,0.0
2022-09-27,-0.003746068087946761,-0.0037551056036242824,1.0976617953076229,1.0914658808222377,0.0061959144853851456,22.774539507354145,9.037515677521485e-06,0.0
2022-09-28,0.003200219618336031,0.0031911821026585096,1.1011745541192643,1.09494894720678,0.006225606912484416,22.774539507354145,9.037515677521485e-06,0.0
2022-09-29,-0.015930616767858445,-0.015939654283535967,1.0836321643030729,1.0774958395301821,0.006136324772890722,22.774539507354145,9.037515677521485e-06,0.0
2022-09-30,0.004335761619421484,0.004326724103743963,1.0883305350506287,1.0821578667507612,0.006172668299867512,22.774539507354145,9.037515677521485e-06,0.0
2022-10-03,0.0013695939016778458,0.0013605563860003243,1.0898211059144438,1.0836302035470295,0.006190902367414264,22.774539507354145,9.037515677521485e-06,0.0
2022-10-04,0.013844496889448383,0.013835459373770861,1.1049091308253316,1.0986227252043954,0.006286405620936186,22.774539507354145,9.037515677521485e-06,0.0
2022-10-05,-0.0024270623649150255,-0.002436099880592547,1.1022274474572544,1.0959463705147088,0.006281076942545649,22.774539507354145,9.037515677521485e-06,0.0
2022-10-06,0.0052537626090578965,0.005244725093380375,1.1080182888073826,1.1016943079451464,0.006323980862236178,22.774539507354145,9.037515677521485e-06,0.0
2022-10-07,-0.012898671061514492,-0.012907708577192013,1.0937263253699139,1.0874739588770392,0.006252366492874639,22.774539507354145,9.037515677521485e-06,0.0
2022-10-10,-0.004395706835206764,-0.004405917465963651,1.0889186250856397,1.0826826383678423,0.006235986717797459,25.730789507354146,1.0210630756886567e-05,0.0
2022-10-11,-0.003680151250216465,-0.0036903618809733516,1.084911239846147,1.078687147630018,0.0062240922161289625,25.730789507354146,1.0210630756886567e-05,0.0
2022-10-12,-0.003437967415606748,-0.0034481780463636344,1.0811813503547303,1.0749676422886654,0.006213708066064916,25.730789507354146,1.0210630756886567e-05,0.0
2022-10-13,0.001780368032606773,0.0017701574018498866,1.0831062510683525,1.0768705042174118,0.006235746850940638,25.730789507354146,1.0210630756886567e-05,0.0
2022-10-14,0.0009418376752955677,0.0009316270445386811,1.084126361341957,1.0778737459026069,0.006252615439350073,25.730789507354146,1.0210630756886567e-05,0.0
2022-10-17,0.00663488366139775,0.006624673030640863,1.0913194136237154,1.0850143070375238,0.0063051065861916555,25.730789507354146,1.0210630756886567e-05,0.0
