,PDAIEUR LX Equity,EXCRISA LX Equity,LUMNUDE LX Equity
2021-02-09,-0.01373919550500218,0.012720990475491469,0.027611105703754756
2021-02-10,-0.013818605018951555,0.01289571362287068,0.027154220180027742
2021-02-11,-0.013551834765063882,0.012529010303697298,0.02702129973772821
2021-02-12,-0.01347202313600243,0.012452540691535372,0.026963945419762856
2021-02-16,-0.013206190920237556,0.012640675626374472,
2021-02-17,-0.012898458343018372,0.012837190899537833,0.027093945103912796
2021-02-18,-0.012644097929787936,0.013280247463730332,0.027567100577349755
2021-02-19,-0.012727607530762365,0.013284441322027048,0.02753660574595748
2021-02-23,-0.011507809615995542,0.013620391613000065,0.02881867568071614
2021-02-24,-0.012473351268627442,0.013864540001416858,0.028851156750696053
2021-02-25,-0.013879899949459599,0.013622758294804225,0.02926732163881171
2021-02-26,-0.013314354240431737,0.013649510581651045,0.029383921232295336
2021-03-02,-0.013142027539630091,0.014145405066039046,0.029471273260907826
2021-03-03,-0.013273027456137962,0.013621641098733386,0.029036736434520472
2021-03-04,-0.011842458350238666,0.01378446344443975,0.030349770233958108
2021-03-05,-0.011383607268524554,0.013622282600627767,0.031891265469328946
2021-03-09,-0.01146837180901887,0.013910906185173258,0.03245375462377545
2021-03-10,-0.011534488760792622,0.011950666885806522,0.032362007161187076
2021-03-11,-0.0104462648611949,0.012334041525284308,0.03294520593039913
2021-03-12,-0.010096389127378093,0.012312910022132056,0.032646035396894334
2021-03-16,-0.010119528599913434,0.01215314531668048,0.03157774503928416
2021-03-17,-0.00969423524746415,0.011885393630990924,0.03207800319801824
2021-03-18,-0.010059791621766267,0.011871366401651566,0.03080177055223247
2021-03-19,-0.009908533399459964,0.012013030650957733,0.03093659796281267
2021-03-23,-0.010468580121843624,0.011713758754650399,0.030452980262948487
2021-03-24,-0.010347585825553344,0.011424325000829572,0.029859965514869316
2021-03-25,-0.010999813697580676,0.01148136969646707,0.029658124058021998
2021-03-26,-0.011204780876710122,0.011625922665018877,0.029886223360836694
2021-03-30,-0.01110860200075758,0.011604382141516689,0.030287502347086562
2021-03-31,-0.011162801314018748,0.01170795000001042,0.030111589710524557
2021-04-01,-0.011420146054937368,0.011874942936167778,0.030500038063957152
2021-04-07,-0.011133516137049214,0.012062171699745891,0.0302754168875532
2021-04-08,-0.01098720895638452,0.011992726612616843,0.03020053080415773
2021-04-09,-0.01102193440855961,0.012047322622382008,0.030297434401552872
2021-04-13,-0.011416062568200706,0.012039869982465567,0.030341347151529797
2021-04-14,-0.011407606532014666,0.01204045442165727,0.03045737387069829
2021-04-15,-0.011825010895767015,0.011420331447218296,0.03054915341275657
2021-04-16,-0.01201633016234923,0.011387182876750623,0.02978630929162056
2021-04-20,-0.0117499095764451,0.01264486466901653,0.029481005211918227
2021-04-21,-0.013189105651831982,0.012615195519074389,0.02995325846503289
2021-04-22,-0.012870627381000302,0.013097619633352145,0.030154416032319872
2021-04-23,-0.012843295126188335,0.013472392477715903,0.030361353437450594
2021-04-27,-0.012813692153266706,0.013267535140333872,0.03055799125441451
2021-04-28,-0.012759395490173915,0.014058681060705132,0.030231969452018413
2021-04-29,-0.013414378951236157,0.01522662516855402,0.030139491544572856
2021-04-30,-0.013517468714711465,0.015632254028751128,0.030113570652030658
2021-05-04,-0.013629327061973593,0.017027797256434562,
2021-05-05,-0.01341746754570824,0.016677468007566955,0.029435790505929822
2021-05-06,-0.013100835872108611,0.01689788422653066,0.03002924062359824
2021-05-07,-0.012372604731645294,0.01714969000135969,0.030027078870339396
2021-05-11,-0.012532190967061076,0.019001849858707443,0.03199273384434914
2021-05-12,-0.013917429039247213,0.01855397998847616,0.03224920746418862
2021-05-13,,0.018569109884068465,
2021-05-14,,0.01897384402644371,
