,portfolio_return
2022-11-07,0.0006704058972462
2022-11-08,0.003325141197361
2022-11-09,-0.001587618661958975
2022-11-10,0.011088864110367976
2022-11-11,-0.00421403799391465
2022-11-14,0.0008483937447142499
2022-11-15,0.0026533614410302496
2022-11-16,-0.0013390620123947
2022-11-17,-0.0019663302136676496
2022-11-18,0.0037593955569722496
2022-11-21,0.00143216768350485
2022-11-22,0.002532641469326025
2022-11-23,0.0023118495472982496
2022-11-24,0.002987423868431925
2022-11-25,-0.00391199837143815
2022-11-28,-0.0025600141289259
2022-11-29,0.0008543551801247
2022-11-30,0.001399762326945025
2022-12-01,0.0064784231009441745
2022-12-02,-0.003096361797640425
2022-12-05,-0.0021703529794734
2022-12-06,-0.002140688052446025
2022-12-07,-0.0007094651541896251
2022-12-08,-0.00100020003325295
2022-12-09,-0.00192264202014165
2022-12-12,-0.001325074758012
2022-12-13,0.00496710129028415
2022-12-14,-0.0018728304832323
2022-12-15,-0.014202221289951624
2022-12-16,-0.0053268855445753
2022-12-19,-0.001571366496644475
2022-12-20,-0.0042847821216022
2022-12-21,0.005961288276254925
2022-12-22,-0.00574612462536425
2022-12-23,0.0010042644820507
2022-12-26,0.0
2022-12-27,-0.00343359225368355
2022-12-28,-0.0014833732982193503
2022-12-29,0.00462984009075672
2022-12-30,-0.0037990580472304
2023-01-02,0.0066665529787974746
2023-01-03,-0.0011185797572199748
2023-01-04,0.005763539060605001
2023-01-05,-0.00300998657817065
2023-01-06,0.005216468645951974
2023-01-09,0.0016601261687939999
2023-01-10,-0.0046102985408092755
2023-01-11,0.0051442430832762
2023-01-12,0.0016801830383672248
2023-01-13,0.0010316057486525272
2023-01-16,0.000978032122434825
2023-01-17,0.004441531289278926
2023-01-18,0.0009838722361136748
2023-01-19,-0.0048303666301212
2023-01-20,-0.0017914179968074998
2023-01-23,0.0029446414384411497
2023-01-24,0.00127025876116615
2023-01-25,-0.00171103039696095
2023-01-26,0.0020207943517466
2023-01-27,0.00183773724839445
